,Company,Memory_Structure_Categories,Gpu_Type,Gpu_Company,OpSys,Cpu_Company,Inches,CPU_Frequency_Numeric,Ram_Numeric,Size_Numeric,Weight_Numeric,Price_dollars
0,Asus,Hybrid,GeForce GTX 1080,Nvidia,Windows 10,Intel,17.3,2.9,32 MB,512MB,4.7,4279$
1,Lenovo,Hybrid,GeForce GTX 980M,Nvidia,Windows 10,Intel,17.3,2.7,32 MB,512MB,4.6,3564$
2,Lenovo,Hybrid,GeForce GTX 980M,Nvidia,Windows 10,Intel,17.3,2.7,16 MB,256MB,4.6,3025$
3,Lenovo,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,17.3,2.7,32 MB,256MB,4.6,2929$
4,Lenovo,Hybrid,GeForce GTX 980M,Nvidia,Windows 10,Intel,17.3,2.6,16 MB,128MB,4.6,2519$
5,MSI,Hybrid,GeForce GTX 980M,Nvidia,Windows 10,Intel,17.3,2.7,16 MB,128MB,4.5,2584$
6,Dell,Hybrid,GeForce GTX 1070M,Nvidia,Windows 10,Intel,17.3,2.8,32 MB,1000MB,4.42,3948$
7,Dell,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,17.3,2.8,32 MB,256MB,4.42,3464$
8,Dell,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,17.3,2.8,32 MB,512MB,4.42,3462$
9,Dell,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,17.3,2.8,32 MB,512MB,4.42,3380$
10,Dell,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,17.3,2.8,16 MB,128MB,4.42,3314$
11,Dell,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,15.6,2.8,16 MB,256MB,4.42,3156$
12,Dell,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,17.3,2.6,32 MB,256MB,4.42,3080$
13,Dell,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,17.3,2.9,16 MB,256MB,4.42,3079$
14,Dell,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,17.3,2.8,16 MB,256MB,4.42,2969$
15,Dell,Hybrid,GeForce GTX 1060,Nvidia,Windows 10,Intel,17.3,2.8,16 MB,256MB,4.42,2702$
16,Dell,HDD,GeForce GTX 1060,Nvidia,Windows 10,Intel,17.3,2.7,8 MB,1000MB,4.42,2251$
17,MSI,Hybrid,GTX 980 SLI,Nvidia,Windows 10,Intel,18.4,2.9,32 MB,512MB,4.4,3079$
18,Dell,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,17.3,2.8,32 MB,1000MB,4.36,4025$
19,Dell,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,17.3,2.8,16 MB,512MB,4.36,3469$
20,Dell,Hybrid,GeForce GTX 1080,Nvidia,Windows 10,Intel,17.3,2.7,16 MB,512MB,4.36,3034$
21,Dell,Hybrid,GeForce GTX 1060,Nvidia,Windows 10,Intel,17.3,2.8,16 MB,128MB,4.36,2756$
22,Asus,Hybrid,GeForce GTX 965M,Nvidia,Windows 10,Intel,17.3,2.6,24 MB,256MB,4.33,1396$
23,Asus,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,17.3,2.6,16 MB,256MB,4.3,2585$
24,Asus,Hybrid,GeForce GTX 980M,Nvidia,Windows 10,Intel,17.3,2.6,16 MB,128MB,4.3,2529$
25,Asus,Hybrid,GeForce GTX 980M,Nvidia,Windows 10,Intel,17.3,2.6,16 MB,512MB,4.3,2365$
26,Asus,Hybrid,GeForce GTX 980M,Nvidia,Windows 10,Intel,17.3,2.8,16 MB,256MB,4.3,1979$
27,Acer,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,17.3,2.8,16 MB,256MB,4.2,2859$
28,Acer,Hybrid,GeForce GTX 1060,Nvidia,Windows 10,Intel,17.3,2.8,16 MB,256MB,4.2,2529$
29,Acer,Hybrid,GeForce GTX 1060,Nvidia,Windows 10,Intel,17.3,2.6,16 MB,128MB,4.2,2129$
